1F691,🚑 ambulance,ambulance
1F4A1,💡 light bulb,ampoules?
1F34D,🍍 pineapple,ananas
2693,⚓ anchor,ancre
1F382,🎂 birthday cake,anniversaire;gâteau
1F577 FE0F,🕷️ spider,araignée
1F3F9,🏹 bow and arrow,arcs?;flèches?
1F4B6,💶 euro banknote,argent
1F346,🍆 eggplant,aubergine
1F6E3,🛣 motorway,autoroute
2708,✈ airplane,avion
1F953,🥓 bacon,bacon
1F3F8,🏸 badminton,badminton
1F956,🥖 baguette bread,baguette
1F6C1,🛁 bathtub,bain
2696,⚖ balance scale,balances?
1F40B,🐋 whale,baleine
1F388,🎈 balloon,ballon
1F34C,🍌 banana,banane
1F3E6,🏦 bank,banque
26BE,⚾ baseball,baseball
1F3C0,🏀 basketball,basket
26F5,⛵ sailboat,bateau
1F50B,🔋 battery,batterie
1F37C,🍼 baby bottle,biberon
1F37A,🍺 beer mug,bière
1F3B1,🎱 pool 8 ball,billiard
1F915,🤕 face with head-bandage,blessé
1F36C,🍬 candy,bonbon
1F6E1,🛡 shield,boucliers?
1F56F,🕯 candle,bougies?
1F3B3,🎳 bowling,bowling
1F94A,🥊 boxing glove,boxe
1F32B,🌫 fog,brouillard
1F68C,🚌 bus,bus
1F6D2,🛒 shopping cart,caddies?
1F381,🎁 wrapped gift,cadeau
1F4C5,📅 calendar,calendriers?
1F3A5,🎥 movie camera,caméra
1F3D5,🏕 camping,camping
1F955,🥕 carrot,carrote
1F4B3,💳 credit card,carte bleue
1F3A7,🎧 headphone,casque
1F4FC,📼 videocassette,cassettes?
1F352,🍒 cherries,cerise
1F37E,🍾 bottle with popping cork,champagne
1F344,🍄 mushroom,champignon
1F3A9,🎩 top hat,chapeau
1F431,🐱 cat face,chat
1F3F0,🏰 castle,chateau
1F434,🐴 horse face,cheval
1F98D,🦍 gorilla,chien
1F36B,🍫 chocolate bar,chocolat
1F6AC,🚬 cigarette,cigarettes?;clopes?
2702,✂ scissors,ciseaux?
1F34B,🍋 lemon,citron
2328,⌨ keyboard,clavier
1F511,🔑 key,clés?;clefs?
1F514,🔔 bell,cloche
1F437,🐷 pig face,cochon
2764,❤ red heart,coeur
1F378,🍸 cocktail glass,coktail
1F4E6,📦 package,colis?
1F952,🥒 cucumber,comcombre
1F36A,🍪 cookie,cookie
1F5D1 FE0F,🗑️ wastebasket,corbeilles?
1F52A,🔪 kitchen knife,couteau
1F980,🦀 crab,crabe
270F,✏ pencil,crayons?
1F950,🥐 croissant,croissant
1F944,🥄 spoon,cuillière
1F373,🍳 cooking,cuisiner
1F357,🍗 poultry leg,cuisse
1F5E1,🗡 dagger,dagues?
1F42C,🐬 dolphin,dauphin
1F3B2,🎲 game die,dés
1F3DC,🏜 desert,desert
1F513,🔓 unlocked,dévérouillée?s?
1F4BF,💿 optical disk,disque
1F4BE,💾 floppy disk,disquette
1F4B2,💲 heavy dollar sign,dollars?
1F369,🍩 doughnut,donut
1F4C1,📁 file folder,dossiers?
1F6BF,🚿 shower,douche
1F432,🐲 dragon face,dragon
1F4C0,📀 dvd,dvd
1F4E7,📧 e-mail,e-mails?;mails?
26A1,⚡ high voltage,éclair
1F3EB,🏫 school,école
2699,⚙ gear,engrenages?
2709,✉ envelope,enveloppes?
2694,⚔ crossed swords,épées
1F40C,🐌 snail,escargot
26FD,⛽ fuel pump,essence
26F4,⛴ ferry,ferry
1F389,🎉 party popper,fête
1F525,🔥 fire,feu
1F912,🤒 face with thermometer,fièvre
1F3F5,🏵 rosette,fleur
2744,❄ snowflake,flocon
26BD,⚽ soccer ball,foot
1F4AA,💪 flexed biceps,fort
